japanese,translation
駅,train station
美味しい,tasty
昨日,yesterday (colloquial)
綺麗,"pretty, clean"
五,five
九つ,nine (things)
お願い,favor
答える,give an answer
先,"ahead, first"
寒い,cold (temperature of the air)
四,four (Chinese origin)
三日,"three days, third of the month"
下,"under, below"
大丈夫,"all right, OK"
大人,adult
出す,take out
父,(speaker’s) father
母,(speaker’s) mother
月,moon
妹,younger sister
冷たい,cold (to touch)
弟,younger brother
手,hand
十日,"ten days, tenth of the month"
口,mouth
夏,summer
七つ,seven (things)
時々,sometimes
何,what
人,person
一人,one person
一日,first of the month
九日,"nine days, ninth of the month"
方,"direction, side"
他,other (Japanese origin)
僕,"I, me (usually used by young males)"
欲しい,"want, desire (of the speaker)"
万,ten thousand
見える,"be visible, can see"
道,"street, way"
五つ,five (things)
目,eye
八つ,eight (things)
止める,stop (a car…). 止める (yameru) give up
四日,"four days, fourth of the month"
夜,night (from sunset to sunrise)
来年,next year
六,six
悪い,bad
お手洗い,"toilet, bathroom"
ご主人,(someone else’s) husband
本当に,"really, truly"
自分,"self, oneself"
ため,"sake, purpose"
見つかる,"be found, be caught"
休む,"take a rest, take a break"
ゆっくり,slowly
六つ,six (things)
花,flower
動く,move
線,line
七日,"seven days, seventh of the month"
以外,except for
男,"man, male"
彼,"he, one’s boyfriend"
女,woman
妻,woman
百,hundred
辺,vicinity
店,"shop, store"
閉まる,"be shut, be closed"
問題,"problem, question"
必要,"need, necessary"
もつ,"last long, be durable"
開く,open
昨年,"last year (formal, often used in writing)"
治る,"be cured, get well"
ドル,dollar
システム,system (loan word)
以上,"more than, not less than"
最近,"recent, latest"
世界,world
コンピューター,computer
やる,give (to an inferior)
意味,"meaning, sense"
増える,"increase, accrue"
選ぶ,"choose, elect"
生活,"life, living"
進める,"go ahead, proceed"
続ける,"continue, keep up"
ほとんど,"almost, hardly"
会社,"company, corporation"
家,"house, dwelling"
多く,"much, largely"
話,"talk, story"
上がる,"go up, rise (physical movement)"
もう,"another, again"
集める,"collect, gather"
声,"voice, sound"
初めて,for the first time
変わる,"change, turn into"
まず,"first of all, to begin with"
社会,society
プログラム,program booklet
力,"strength, power"
今回,this time
予定,"schedule, plan"
まま,"as is, still (in the current state)"
テレビ,television
減る,"decrease, diminish"
消える,"be extinguished, disappear"
家族,"family, household"
比べる,"compare, contrast"
生まれる,"be born, come into existence"
ただ,free
これら,these
調べる,"investigate, check"
事故,"accident, trouble"
電話,"telephone, phone call"
外国,foreign country
銀行,bank
十分,"enough, plentiful"
あまり,(not) much
写真,photograph
繰り返す,repeat
種類,"kind, type"
意見,opinion
新聞,newspaper
文章,"sentence, writing"
目立つ,"stand out, be conspicuous"
相手,"opponent, the other party"
病院,hospital
厚い,"thick, bulky"
忙しい,"busy, occupied"
薄い,"thin, weak"
川,"river, stream"
暗い,"dark, gloomy"
クラス,class (in school)
黒い,"black, dark"
バス,bus
青い,blue
買い物,"shopping, purchase"
薬,"drug, medicine"
砂糖,sugar
休み,"holiday, break"
郵便局,post office
住所,address
こちら,"here, this way (polite)"
財布,"purse, wallet"
パスポート,passport
椅子,chair
可愛い,"cute, sweet"
お祖父さん,grandfather (colloquial)
切手,postage stamp
涼しい,cool (of temperature)
いくつ,"how many, how old"
メニュー,menu
電気,"electricity, electric light"
勝つ,win
負ける,lose
建てる,"build, erect"
日記,diary
売り切れ,sell out
お巡りさん,police officer (colloquial)
目覚まし時計,alarm clock
レシート,receipt (loan word)
ティッシュ,tissue
歯ブラシ,toothbrush
下りる,"go down, come down"
洗う,wash
パート,part-time
氏名,full name
今夜,"tonight, this evening"
夜中,midnight
来週,next week
誰か,someone
何,what. それはなんですか. What is that?
今朝,this morning
寿司,sushi
履く,"put on (shoes), wear (pants, skirt)"
おじさん,uncle
おばさん,aunt
お祖母さん,grandmother (colloquial)
いとこ,cousin
辞書,dictionary (category)
朝ご飯,breakfast
白,white
どっち,which (casual)
そっち,there (casual)
明日,tomorrow (colloquial)
明後日,day after tomorrow (colloquial)
一昨日,the day before yesterday (colloquial)
庭,"garden, yard"
左側,left side
右側,right side
指,"finger, toe"
眼鏡,glasses
鞄,"bag, handbag"
あっち,"other side, over there (casual)"
大人しい,"gentle, quiet"
下手,not good at
厳しい,"strict, severe"
一人で,"by oneself, alone"
答え,"answer, solution"
この頃,"these days, recently"
残念,"regretful, disappointing"
仕舞う,"put away, put in"
心配,"anxiety, worry"
外,"outside, open air"
大切,"important, valuable"
ちょうど,"just, exactly"
助ける,"help, save"
勤める,"serve, hold a job"
連れていく,"take along, bring along (a person)"
丈夫,"healthy, sturdy"
賑やか,"lively, exciting"
眠い,sleepy
山,mountain
橋,bridge
止まる,"come to a stop, cease"
降る,"fall, come down (rain, snow, etc.)"
本当,"reality, genuine"
町,"town, city"
お菓子,"sweets, snacks"
緩い,"slack, loose"
良い,good (formal/written form)
ようこそ,welcome (greeting)
お土産,souvenir (polite)
両親,parents
ウェーター,waiter
ウェートレス,waitress
絶対に,"absolutely, definitely"
ごちそう,"feast, treat"
フォーク,fork
スプーン,spoon
瓶,bottle
つく,"be on, be switched on"
醤油,soy sauce
茶碗,rice bowl
決める,"decide, agree upon"
感じる,"feel, sense"
生きる,live (one’s life)
動かす,move (something)
壊れる,"break, break down"
復習,review
眉,eyebrow
客,"visitor, customer"
机,desk
風呂,bath
湯,hot water
ぬるい,"tepid, lukewarm"
風邪薬,cold medicine
靴下,socks
タバコ,"tobacco, cigarette"
アイスコーヒー,iced coffee
天ぷら,Japanese deep-fried food
肉,"flesh, meat"
昨夜,"last night, last evening (colloquial)"
流行る,"be in fashion, be popular"
連れて来る,bring (a person)
方,person (polite form)
零,zero
雲,cloud
空,sky
人気,popularity
兄さん,(one’s own) older brother (polite)
姉さん,(one’s own) older sister (polite)
平成,Heisei era
毎月,every month
半日,half a day
半月,half a month
なるほど,"I see, really"
つまり,"in short, that is to say"
そのまま,"as it is, just like that"
はっきり,clearly
大変,"awful, hard"
簡単,"simple, easy"
似ている,"look like, resemble"
驚く,"be surprised, be startled"
嫌,dislike (situational)
喧嘩,"fight, argument"
遅れる,be late
にんじん,carrot
ジャガイモ,potato
ナス,eggplant
やかん,kettle
話し合う,"discuss, talk over"
残す,"leave, leave undone"
ごちそうする,"treat, host (a meal)"
合う,"fit, match"
当たる,"(go straight and) hit, strike"
集まる,"gather, be collected"
場所,"place, space"
海,"sea, ocean"
少年,boy (between 7 and 18 years old)
孫,grandchild
生徒,"pupil, student"
高校,high school (for short)
年上,"older, senior"
卒業,graduation
運動,"movement, exercise"
選手,"athlete, (sports) player"
映画,movie
英語,English
手紙,letter
動物,animal
音,"sound, noise"
海外,"overseas, abroad"
外国人,foreigner
帰国,return to one’s country
彼ら,they
機械,machine
基本,basics
今度,"this time, next time"
最後,last
最初,"first, outset"
準備,"preparation, arrangement"
進む,"advance, move forward"
直接,directly
特に,"specially, particularly"
届く,"reach, be received"
なぜ,why
並ぶ,"line up, be parallel"
運ぶ,"carry, transport"
直す,"repair, fix"
反対,"oppose, object"
場合,"situation, case"
詳しい,detailed
いたずら,"mischief, prank"
お祝い,celebrate
くし,comb
こぼれる,"spill, overflow"
伝える,"convey, transmit"
膝,knee
肘,elbow
枕,pillow
建物,"building, structure"
道路,road
四つ角,intersection
曲がり角,corner (to turn)
警察,police
空気,"air, atmosphere"
スポーツ,sport
チャンス,chance
クリーニング,dry cleaning
サービス,"service, on the house"
グループ,group
自宅,"one’s house, one’s home"
家庭,"home, family"
期間,"term, period"
年度,"year, school year"
経験,"experience, knowledge"
安全,"safety, security"
危険,"danger, dangerous"
注意,"attention, care"
成功,success
努力,"endeavor, effort"
説明,"explanation, description"
地震,earthquake
手術,surgical operation
火傷,burn
課題,"task, assignment"
子,"young child, kid"
確認,confirmation
実際,"reality, actual state"
国際,international (used in compound nouns)
会議,"conference, meeting"
提案,"proposition, proposal"
事務所,"office, one’s place of business"
教授,professor
世紀,century
あちこち,"all over, here and there"
そちら,"there, that way (polite)"
あちら,"over there, that way (polite)"
もし,"if, in case of"
うるさい,"noisy, annoying"
固い,"stiff, tight"
深い,"deep, profound"
面白い,"interesting, amusing"
全く,"entirely, truly"
半分,half
普通,"normal, regular"
分,"amount, share"
文化,culture
毎日,every day
気を付ける,"be careful about, pay attention to"
守る,"protect, observe"
もちろん,of course
やはり,as expected
いくら,how much (money)
よろしく,one’s regards
どなた,who (polite)
許す,"permit, forgive"
分ける,"divide, share"
自然,nature
アパート,"apartment, flat"
ホテル,hotel
パソコン,personal computer
うまい,good at
明るい,"bright, cheerful"
急ぐ,"hurry, do quickly"
歌,song
中学校,junior high school
テスト,test
ポスト,"postbox, mailbox"
ハンカチ,handkerchief
髪,"hair, hairstyle"
帽子,"hat, cap"
被る,"wear, put on (on one’s head)"
ブラウス,blouse
週末,weekend
先週,last week
再来週,the week after next
いつか,"some time, some day"
宿題,homework
鍵,"key, lock"
傘,"umbrella, parasol"
乗り換える,"change, transfer"
向かう,"face, head toward"
本屋,bookstore (colloquial)
お茶,tea (polite)
改札口,ticket gate
晴れ,"fine weather, clear sky"
バス停,bus stop
曇り,cloudy weather
塩,salt
たくさん,"a lot, in large quantity"
大嫌い,hate
中,"inside, middle"
二階,"second floor, upstairs"
無くす,"lose, get rid of"
まあまあ,"OK, not bad"
黄色,yellow color
ランチ,lunch (loan word)
魚,fish
味,"taste, flavor"
りんご,apple
みかん,tangerine
皿,"plate, counter (for plates or helpings)"
コーヒー,coffee
コップ,"cup, glass"
二人,two persons
止む,"stop, cease"
九,nine
昼間,"daytime, during the day"
いつ頃,"about when, about what time"
字,"(individual) character, letter"
七,seven (Chinese origin)
お釣り,change (of money)
名字,"surname, family name"
おじ,(one’s own) uncle
おば,(one’s own) aunt
祖父,grandfather (formal)
祖母,grandmother (formal)
大事,importance
見方,"view, perspective"
鳥,"bird, poultry"
犬,dog
返事,"reply, answer, response"
また,"again, also, or"
年間,period of one year
青,"blue, green"
赤,red color
信号,"signal, traffic light"
円,circle
非常に,"very, extremely"
複雑,"complicated, intricate"
平和,"peace, harmony"
回る,"turn round, go around"
若者,"young person, youth"
雪,"snow, snowfall"
うまい,"sweet, delicious"
思い出す,"recollect, recall"
聞こえる,"hear, be heard"
借りる,borrow
返す,"return, repay"
受け取る,"receive, get"
捨てる,"discard, abandon"
一緒,"together, same (colloquial)"
遊び,"play, amusement"
移す,"move, transfer"
大きさ,"size, dimension"
考え,"thought, idea"
空港,airport (for public transportation)
出発,"departure, starting"
地図,"map, atlas"
運転,drive
降りる,"get off, land"
ガス,gas (loan word)
必ず,"without exception, always"
カメラ,camera
通う,"go to and from, frequent a place"
急に,"suddenly, unexpectedly"
サラリーマン,"office worker, company employee"
給料,"salary, pay"
曲,piece of music
切れる,"cut well, be sharp"
正しい,"correct, righteous"
苦しい,"painful, agonizing"
細かい,"minute, fine"
静か,"quiet, tranquil"
健康,health
ゴルフ,golf
コース,"course, route"
頼む,"order, ask for"
困る,"be in trouble, not know what to do"
ずっと,"all the time, all through"
例えば,for example
つもり,"intention, purpose"
しばらく,"a little while, a while"
紹介,introduction
小学校,elementary school
公園,"park, public garden"
中学,junior high
成績,"results, grade"
教科書,"textbook, schoolbook"
席,"seat, one’s place"
教室,"classroom, class"
教師,"teacher, instructor"
試験,exam
合格,pass an examination
数学,mathematics
数字,numeric characters
音楽,music
食事,meal
壁,"wall, partition"
信じる,"believe, trust"
育てる,"bring up, raise"
倒れる,fall over
落とす,drop
代わる,"substitute, be substituted for"
タクシー,taxi
確か,"for sure, for certain"
立てる,"stand, set up"
中学生,junior high school student
売れる,"sell, be in demand"
着く,"arrive at, reach"
決まる,be decided
飾る,decorate
殺す,kill
下げる,"lower, turn down"
贈る,"offer, give"
訪ねる,"visit, go to see"
打つ,"hit, strike"
相談,"consultation, advice"
玄関,"entrance, door"
兄弟,sibling
長男,eldest son
高さ,height
用,things to do
時代,"age, era"
位置,"position, location"
季節,season
穴,hole
裏,"the back, the reverse side"
島,island (Japanese origin)
海岸,"seashore, coast"
ガラス,glass (material)
自然,natural
風,wind
科学,science
太陽,sun
台風,typhoon
北,north
馬,horse
牛肉,beef
雑誌,"magazine, journal"
小説,novel
大使館,embassy
故障,"malfunction, breakdown"
温度,temperature
何か,"something, some"
向こう,"over there, on the other side"
真ん中,"center, middle (casual)"
遠く,"far away, at a distance"
横,"side, width across"
つまらない,"boring, dull"
素晴らしい,"excellent, wonderful"
毎年,every year (colloquial)
来月,next month
日時,date and time
夕方,"early evening, at dusk"
通る,"pass, go through"
自動車,automobile
慣れる,"grow accustomed to, get used to"
撮る,"take (a photograph), film"
やっと,"at last, finally"
どんどん,"knock, bang"
並べる,"line up, arrange"
逃げる,"escape, run away"
渡す,"hand over, give"
値段,price
両方,both
約束,"promise, vow"
一部,part
ラジオ,radio
入院,be hospitalized
ニュース,news
旅行,"travel, trip"
用意,preparation
伸びる,"stretch, grow"
パーティー,party
ビール,beer
早く,"early, soon"
番組,program
ビデオ,video
増やす,increase
振る,"wave, shake"
迎える,"welcome, receive (a visitor)"
無理,"unreasonable, impossible"
珍しい,"rare, scarce"
有名,famous
喜ぶ,"be happy, be delighted"
留学,study abroad
料理,cooking
野菜,vegetable
分かれる,"be divided, split off"
特別,special
理由,"reason, excuse"
自由,freedom
方向,"direction, course"
残る,"remain, be left over"
ビル,building
まとめる,"gather together, put in order"
流れる,"flow, run"
セーター,sweater
シャツ,shirt
洗濯,"laundry, washing"
間違える,"make a mistake, fail at"
アイスクリーム,ice cream
乾く,become dry
冷める,cool off
色々,a variety of
持って行く,"take, bring"
着替える,change clothes
石鹸,soap
野球,baseball
昼食,lunch
朝食,breakfast
眠る,"sleep, lie idle"
初め,beginning
火,"fire, flame"
西,"west, western"
東,"east, eastern"
南,south
夕食,"supper, dinner"
なかなか,"rather, pretty"
励ます,"encourage, cheer up"
涙,tear
夢,dream
職場,"place of work, office"
隣,"next to, next door"
マンション,"apartment, residential building"
エレベーター,elevator
窓,window
押す,"push, press down"
入学,"enter a school, matriculate"
戸,"door, sliding door"
通り,"street, road"
亡くなる,"die, pass away"
夫婦,"husband and wife, married couple"
女性,"woman, female (formal)"
森,forest
トラック,truck
レコード,record
熱,"heat, fever"
ページ,page
踊る,dance
長さ,length
厚さ,thickness
秘密,"secret, privacy"
凄い,"great, incredible"
親切,"kind, kindhearted"
絶対,"absolutely, never"
先月,last month
一昨年,the year before last (colloquial)
冬休み,winter vacation
夏休み,summer vacation
休日,"day off, holiday"
正月,"New Year, January"
思い出,memory
たまに,"occasionally, by chance"
おかしい,"strange, peculiar"
浅い,"shallow, superficial"
君,you (referring to fellows or subordinates)
奥さん,"(somone else’s) wife, married woman"
赤ちゃん,baby (colloquial)
小学生,elementary school student
貸す,"lend, lease"
数える,count
生む,"give birth, produce"
育つ,"be brought up, grow"
是非,"by all means, please"
黒,black
おもちゃ,"toy, plaything"
靴,shoes
連絡,"contact, communication"
伝言,message
預ける,"deposit, leave (something) with (someone)"
下がる,"go down, drop"
泳ぐ,swim
アルバイト,part-time job
コート,"coat, jacket (loan word)"
趣味,"hobby, interest"
散歩,"walk, stroll"
幸せ,"happiness, satisfied (colloquial)"
安心,"peace of mind, relief"
大勢,"large numbers, a lot of (people)"
医者,"doctor (colloquial, plain)"
運転手,driver
新幹線,bullet train
往復,round trip
コピー,"copy, photocopy"
奥,"inner part, the back"
重さ,weight
親しい,"intimate, familiar"
修理,"repair, mending"
カード,card
挨拶,"greet, greeting"
階段,"steps, flight of stairs"
配る,"hand out, distribute"
断る,"refuse, turn down"
グラム,gram
濃い,"strong, concentrated"
壊す,"break (something), destroy"
桜,"cherry tree, cherry blossom"
仕方,"way, method"
絵,"picture, painting"
気温,air temperature
品物,"article, goods"
吸う,"inhale, suck"
案内,"guide, guidance"
スキー,"ski, skiing"
金持ち,wealthy person
尋ねる,"inquire, ask"
叩く,"tap, hit"
帰り,"return, going home"
卵,egg
氷,ice
留学生,student studying abroad
ソフト,"software, program"
歯医者,dentist
蹴る,kick
敷く,"lay, spread"
ひととき,"some moments, a while"
交通事故,traffic accident
遭う,"meet, encounter, get caught in"
招待,invitation
咲く,"bloom, blossom"
二十歳,20 years old
銀,silver
内側,"inside, interior"
池,pond
石,"stone, small rock"
愛,love
課,"section, division"
大学院,graduate school
台所,kitchen
カラー,color (loan word)
すり,pickpocket
キャンプ,"camping, camp"
オートバイ,"motorbike, motorcycle"
建つ,"be built, be erected"
刺す,"sting, stab"
言い方,"way of speaking, expression"
沈む,sink
組み立てる,"set up, put together"
恐ろしい,"terrible, awful"
外人,"foreigner, alien"
牛,"cattle, cow"
食堂,"cafeteria, restaurant"
毎年,every year (formal)
毎週,every week
何度,"how many times, how many degrees"
なかなか,"not easily, not readily"
さっき,"earlier, only a moment ago"
久しぶり,after a long time
便利,convenience
迷惑,"trouble, annoyance"
そんなに,so much
びっくりする,"be surprised, be startled (casual)"
足りる,"suffice, be enough"
疲れる,"get tired, become fatigued"
ひどい,"cruel, awful"
全然,(not ) at all
猫,cat
デパート,department store (loan word)
トイレ,toilet
地下鉄,subway
駐車場,"parking area, parking lot"
ぶつかる,"hit, bump into"
運賃,(passenger) fare
通学,commuting to school
見送る,see (someone) off
泣く,"cry, weep"
レストラン,restaurant
メモ,"memo, note"
予約,"reservation, appointment"
番号,assigned number
注文,order
パン,bread
ワイン,wine
材料,"material, ingredient"
豚肉,pork
焼く,"bake, grill"
匂い,"(pleasant) smell, odor"
付ける,"attach, apply, put"
痩せる,"lose weight, become thin"
届ける,deliver
間に合う,"be in time, suffice"
向く,"turn, face"
強さ,strength
得意,"one’s specialty, be good at"
塗る,"spread on, paint"
投げる,throw
習う,"learn, take lessons"
注目,"attention, notice"
未来,future
箱,"box, case"
右手,right hand
左手,left hand
プール,pool
ピアノ,piano
光る,"shine, emit light, sparkle"
踏む,"step on, tread on"
別々,separately
ボール,ball
握る,"grasp, grip, hold"
真っ赤,deep red
拾う,pick up
回す,"turn, rotate (something)"
ノート,notebook (loan word)
辞める,"resign, leave (one’s job), quit"
揺れる,"shake, sway"
立派,"fine, elegant"
練習,"practice, training"
割る,"divide, split"
部分,"part, section"
拭く,"wipe, dry"
招く,invite
急,"urgent, steep"
汚れる,become dirty
渡る,"cross, go across"
途中,"on the way, half way"
インタビュー,interview (loan word)
盗む,"steal, rob"
普段,"usual, ordinary"
旅館,Japanese inn
博物館,museum
ホーム,platform (for short)
引っ越す,"move, relocate"
荷物,"baggage, load"
家賃,rent
計画,plan
廊下,"hallway, corridor"
天井,ceiling
ベッド,bed
ソファー,"sofa, couch"
屋根,roof
祭り,festival
離婚,divorce
葉,leaf
ボート,"light boat, small craft"
燃える,"burn, catch on fire"
巻く,"roll up, wrap"
プラスチック,plastic
訪れる,go and visit (place)
破る,"tear, breach"
関係,"relation, relationship"
録音,(sound) recording
不幸,"unhappiness, misfortune"
外国語,language
着物,traditional Japanese clothes
牛乳,milk
救急車,ambulance
果物,fruit
間違い,"mistake, error"
映画館,movie theater
怖い,"scary, be afraid"
鏡,mirror
草,"grass, weed"
敬語,polite speech
欠席,absence
スイッチ,switch
掃除,cleaning
畳,straw mat
速さ,speed
林,"woods, forest"
プレゼント,present (loan word)
弁当,boxed lunch
いつでも,"at all times, any time"
寂しい,"lonely, desolate, sad"
少しも,(not) in the least
尊敬,"respect, esteem"
テニス,tennis
広さ,"area, extent"
読み,reading
我慢,"patience, endurance"
国籍,"nationality, citizenship"
恥ずかしい,"embarrassed, ashamed"
ボタン,button
洋服,(western-style) clothes
油,oil
おかしい,"funny, comical"
余る,"remain, be in excess"
コート,sports court
正直,"honest, upright"
ドラマ,drama
ビザ,visa
水道,tap water
店員,"clerk, salesperson"
電池,battery
ポケット,pocket
握手,handshake
そろそろ,"soon, it’s about time"
ぶどう,grapes
迷う,get lost
見物,"sightseeing, visit"
知らせる,"let know, inform"
神社,Shinto shrine
注射,"injection, shot"
めったに,"rarely, seldom"
作文,"composition, essay"
鳴る,"sound, ring"
真面目,serious and sincere
申し込む,"apply, sign up"
冷蔵庫,refrigerator
気に入る,"like, be pleased with"
クリスマス,Christmas
ネクタイ,"tie, necktie"
誕生日,birthday
独身,"single, unmarried"
苦い,bitter
バイオリン,violin
バッグ,bag
今まで,until now
切符,ticket
ゴム,"elastic, rubber"
少々,"a little, a bit"
随分,"extremely, considerably"
引っ張る,"pull, drag"
焼ける,"burn, cook"
鉛筆,pencil
会話,conversation
ギター,guitar
茶,tea
暑さ,heat (of weather)
胃,stomach
禁煙,non-smoking
丸い,round
写る,be photographed
喫茶店,"coffee shop, caf?"
やっぱり,"just as I thought, after all"
週刊誌,weekly magazine
棚,"shelf, rack"
震える,"tremble, shake"
磨く,"polish, grind"
カーテン,curtain
火事,"fire, blaze"
ナイフ,knife
皆さん,"everybody, everyone (polite)"
受ける,"receive, take, undergo"
付く,"stick to, cling to"
私,I (formal)
結構,quite
悪口,"slander, abuse"
広まる,"spread, get around"
内緒,"secrecy, privacy"
つぶる,close (eyes)
用件,"matter, things to be done"
ロマンチック,romantic
貯金,"savings, deposit"
バイク,motorcycle
預かる,"take care of, keep"
オレンジ,orange
噛む,"bite, chew"
きつい,"tight, tough"
越える,"go over, go across"
小包,"parcel, package"
新年,new year
配達,delivery
動物園,zoo
封筒,envelope
危ない,dangerous
テキスト,"text, textbook"
ビニール,"plastic, vinyl"
アルバム,album
